entry_time,exit_time,type,entry,sl,tp,vol,pnl,result
1773762720,1773796200,sell,4994.3925,5012.401054815165,4949.82611296209,0.33,-5.9428230890043325,-1
1773797160,1773803580,sell,5010.3885,4993.120798135433,4975.889026888507,0.4,6.907080745826898,-1
1773813600,1773822120,buy,4998.5425000000005,4984.9708786220135,5032.016553444966,0.4,-5.428648551194783,-1
1773822420,1773830100,buy,4987.9304999999995,4973.798522383267,5022.805444041833,0.4,-5.652791046693165,-1
1773849600,1773852300,sell,4861.6089999999995,4882.538861551031,4809.739346122422,0.28,-5.86036123428883,-1
1773853200,1773860640,sell,4887.1835,4853.411187156306,4836.86867854225,0.29,9.79397072467118,-1
1773861300,1773866220,sell,4860.0385,4815.26799521657,4806.521628436939,0.27,12.088036291526024,-1
1773871200,1773882120,sell,4827.459,4850.274667947259,4770.874830131851,0.26,-5.93207366628747,-1
1773882420,1773884220,sell,4834.6375,4856.3053975510675,4780.922756122331,0.27,-5.850332338788267,-1
1773886920,1773900060,sell,4854.834,4836.7576834538095,4802.044023542165,0.28,5.0613686329333,-1
1773900120,1773902760,sell,4839.088999999999,4781.030629793868,4780.102702061322,0.25,14.746574484669281,1
1773926460,1773928620,sell,4571.882,4610.060481274339,4476.890796814152,0.15,-5.7267721911508485,-1
1773928920,1773930900,sell,4637.9875,4604.299791035401,4540.025954184571,0.15,5.053156344689932,-1
1773932700,1773935460,sell,4622.655,4586.327552390015,4521.327564599957,0.14,5.085842665397904,-1
1773936000,1773948300,buy,4598.271,4643.150791194783,4699.483618585753,0.14,6.28317076726964,-1
1773948360,1773971340,buy,4636.462,4684.9156803987635,4733.74688230062,0.15,7.268052059814454,-1
1773971400,1773976200,sell,4682.768,4717.815765258556,4595.60358685361,0.17,-5.958120093954513,-1
1773990000,1773995340,buy,4671.622,4725.04426722346,4752.273583747354,0.18,9.616008100222807,-1
1773995400,1774001160,sell,4719.1295,4662.548776220588,4637.0971722346,0.18,10.184530280294238,-1
1774001220,1774014720,buy,4663.936500000001,4631.489395117648,4744.599262205881,0.18,-5.8404788788234505,-1
1774017240,1774032960,sell,4576.1045,4495.060777548675,4488.1843668429265,0.17,14.946422636702565,1
1774036980,1774224480,sell,4503.447999999999,4447.606172876409,4411.6144946058075,0.16,8.934692339774484,-1
1774227720,1774228140,sell,4353.268,4402.862418154556,4229.7369546136115,0.12,-5.951330178546668,-1
1774234860,1774246500,sell,4368.822499999999,4288.050074530565,4247.231159845409,0.12,9.692691056332079,-1
1774246560,1774248540,sell,4295.0175,4189.593921294447,4162.413287055527,0.11,11.596593657610848,-1
1774249200,1774250640,sell,4214.088,4120.9697054877015,4071.750945122989,0.1,9.311829451229825,-1
1774267200,1774270860,buy,4373.437000000001,4465.774239254184,4541.64445927376,0.08,7.3869791403346605,-1
1774270920,1774281360,buy,4447.6975,4380.242100841176,4615.880997897062,0.08,-5.396431932705964,-1
1774282500,1774291080,sell,4384.313999999999,4450.735037154496,4218.716407113759,0.09,-5.977893343904716,-1
1774291980,1774304040,sell,4450.5960000000005,4396.579934329127,4289.47770817462,0.09,4.861445910378579,-1
1774307700,1774312080,buy,4438.0485,4380.5929370384765,4581.232407403809,0.1,-5.745556296152336,-1
1774312380,1774318440,buy,4370.521,4310.551262964299,4519.990342589251,0.1,-5.996973703570075,-1
1774319580,1774338720,sell,4365.223999999999,4424.680087546088,4217.038781134777,0.1,-5.9456087546088385,-1
1774339020,1774360560,sell,4418.014,4373.313485426732,4288.982575786643,0.11,4.9170566030595095,-1
1774360620,1774364040,sell,4379.853,4425.976354773407,4264.999613066482,0.13,-5.996036120542949,-1
1774364400,1774383900,sell,4414.527,4459.125625289315,4303.485436776712,0.13,-5.797821287610995,-1
1774414800,1774419240,buy,4571.784000000001,4537.0497418936775,4658.164645265809,0.17,-5.904823878074922,-1
1774421940,1774440960,buy,4544.6285,4572.2896612650775,4628.245099175393,0.17,4.702397415063206,-1
1774441020,1774441860,buy,4565.8085,4534.288648689471,4644.153128276322,0.19,-5.98877174900047,-1
1774443600,1774450260,sell,4545.3095,4576.626533359777,4467.471916600559,0.19,-5.9502363383575085,-1
1774450560,1774465980,sell,4568.034,4501.598610830504,4489.1176725576615,0.18,11.958370050509183,-1
1774467000,1774504860,sell,4515.402999999999,4444.674607812951,4438.756891694962,0.19,14.56276057795706,1
